"","u.1","u.2","v"
"887",-0.255156651888118,-0.476440240256588,"A"
"5800",-0.817056820727775,6.30871188041898,"C"
"3081",0.203728924419619,4.70003236286504,"B"
"5250",-0.207901840861365,4.83149844168743,"C"
"2919",1.09437741401114,6.180909876871,"B"
"4510",-0.235428776258306,5.19155932119539,"C"
"3543",-0.0517533339537416,5.02610058913543,"B"
"1673",-1.20983951809436,-2.51968197708537,"A"
"4957",-0.21501862214125,4.78021759998168,"C"
"1889",-0.580987495016014,-0.179749359647229,"A"
"5936",-0.562583768163375,5.87173462597753,"C"
"5845",-1.76286584163848,6.53549916526528,"C"
"3574",0.27921277674776,5.35906514076489,"B"
"4315",-0.392725383611071,5.5907824928164,"C"
"712",-1.49138472008527,0.218651083411367,"A"
"2221",1.14391499900361,6.28733019546019,"B"
"1676",-0.863199855039592,-1.3590440053034,"A"
"342",-1.17649401880486,1.30532096444299,"A"
"4422",0.264339002932703,5.2623918164683,"C"
"4618",-0.351840651931128,5.29816052059634,"C"
"2916",2.48360452411649,7.20275578437997,"B"
"3928",0.191504599681237,5.45930737387817,"B"
"4697",0.95151477566535,4.39833358971251,"C"
"4864",1.47603941080827,3.78486438779345,"C"
"5462",0.612152175053194,3.85163680808361,"C"
"4004",0.548648896757092,4.97315538304264,"C"
"5653",-0.658135040984252,5.58040231978262,"C"
"449",-0.749752846197597,1.50080752283136,"A"
"2859",-1.78291320194699,4.14941213553113,"B"
"305",-1.15319195863475,0.209935992465261,"A"
"5912",-0.408566276361805,5.34418746680177,"C"
"370",-0.0152448645645526,-0.659146830696934,"A"
"1180",2.10503080012077,-0.0133553989266862,"A"
"2914",-0.74010551963277,3.98496293065768,"B"
"5325",-0.711373896849273,6.07713783977863,"C"
"1487",-1.64665582010829,-1.08146754293403,"A"
"4532",-1.39341902861803,7.1406189194631,"C"
"5070",2.27097349655425,3.32736128407319,"C"
"4435",-1.09481271873316,5.52201174126071,"C"
"4123",-0.790873644090893,5.68804515156394,"C"
"4029",-0.35791614714161,5.44119931747382,"C"
"3650",0.204617014336051,5.16914528417516,"B"
"3889",-0.235159629887736,4.0456184151698,"B"
"3724",-0.457933808555574,4.48087570870741,"B"
"598",0.735577362257632,-1.57608539495689,"A"
"1282",-0.604270172872083,-0.912455951325679,"A"
"200",-0.0326720671051191,-1.22373772989394,"A"
"4686",1.03087625987784,4.04962615594856,"C"
"4204",0.760204739198661,4.87253106190967,"C"
"3503",-0.0135735225458106,4.76699640630205,"B"
"3414",-1.41913089894401,3.87011081777718,"B"
"3475",-0.032798516573212,4.25732338496977,"B"
"5543",2.11227890859701,3.01368537354689,"C"
"5756",-0.165784387871286,4.84651115691122,"C"
"5961",1.63510475848016,4.16894776088822,"C"
"1946",0.179184999527306,0.368313380960499,"A"
"5230",-0.720096384963035,5.65873647371823,"C"
"4222",-0.27304669498485,5.60601120172285,"C"
"835",0.949768291585373,0.642674389054245,"A"
"3850",-0.846476681648887,4.09474373955548,"B"
"668",-1.11164327222066,-1.02746035667145,"A"
"4675",-0.220105861290083,5.89788045906765,"C"
"1984",0.0888169169395331,1.20820996553965,"A"
"647",0.799232743694949,0.366353388750928,"A"
"5227",-0.314132107652531,5.43145974931252,"C"
"5065",-0.287617660085702,4.7962180697401,"C"
"2490",-0.298844796158167,4.57343363124062,"B"
"739",-0.0707495941081834,0.934970519488262,"A"
"3773",0.0779638861517916,5.2401270276166,"B"
"5739",-0.00321276029450276,5.17805976614883,"C"
"1072",-0.212595788718493,0.337060034400828,"A"
"5019",0.490188746056989,4.97495919800516,"C"
"819",-1.35465771833344,1.17446526531779,"A"
"3079",1.368085726807,6.16828632972612,"B"
"2805",-1.07837649435137,4.67861633294946,"B"
"728",-0.778196924495102,0.0111843125796697,"A"
"111",-1.22650885427398,3.29302165456423,"A"
"2673",0.803746430000777,6.00387852815035,"B"
"302",1.75824486532853,-0.365733195730928,"A"
"496",0.0990758711970299,0.752867782613029,"A"
"1323",1.849983333753,2.15697743374611,"A"
"1840",0.854108735568575,0.400295636931967,"A"
"255",0.413581788928894,-0.013463525831766,"A"
"5582",-0.977772896980566,5.87872015149925,"C"
"4892",0.154270498007859,5.11759198859818,"C"
"301",0.0665208519626989,-0.295875725212116,"A"
"2867",1.01989911192342,6.34187471343642,"B"
"1791",-0.537740238137266,1.26829889435487,"A"
"5829",0.132078089533259,4.334768292007,"C"
"1031",-1.17751380702412,-0.285980976906141,"A"
"5748",0.562770820846413,4.64131409988142,"C"
"4072",-1.9023035474475,7.06317247476088,"C"
"78",1.23783982015865,0.161961529599133,"A"
"5531",0.164844083746582,5.67985033941499,"C"
"659",1.09732909285234,-2.75083503193444,"A"
"142",1.27451434152447,0.386654057486914,"A"
"4904",0.327071778888065,5.02587546131608,"C"
"4809",-0.197806258476877,4.78537239883597,"C"
"4292",0.0563614734626429,4.04823963815475,"C"
"419",0.982427151981387,0.246122232739843,"A"
"5747",-1.26624683963899,6.62239009281679,"C"
"3630",0.534882184689812,5.55545986631794,"B"
"4282",1.37830783156487,3.3209835481462,"C"
"2399",-0.150188789556628,4.8061637341105,"B"
"2587",-0.831914008929202,4.50813471727245,"B"
"4574",1.49691747311361,4.76061772742544,"C"
"5119",-1.07576527891071,5.17367372583095,"C"
"4566",-0.667893389748525,6.05477566375123,"C"
"2090",1.38816460587392,6.78167428701141,"B"
"3199",-1.18868240203791,3.8041591178918,"B"
"5591",-0.688364961549808,5.12461766468718,"C"
"27",2.17952181281326,-0.125019341831455,"A"
"4649",0.185320303210434,4.12114838909459,"C"
"2111",0.0239515715668627,4.32244088868297,"B"
"5072",-1.15316434375197,6.56275595199869,"C"
"1724",-0.228947005084974,1.42193197147812,"A"
"5320",-0.0621061633580259,4.12120124882016,"C"
"2934",-0.81993447109801,4.45622048974755,"B"
"394",0.281562527356737,1.4208593568615,"A"
"5569",-1.66011001054087,6.39014468979488,"C"
"3458",0.655045988715868,5.5003810893183,"B"
"2516",0.46435026203314,6.13015546377305,"B"
"291",-1.14316692575455,-1.20501771974754,"A"
"4396",0.854673436603408,4.73045919725043,"C"
"4607",-0.177680681880116,5.72381899508547,"C"
"4094",-0.0986313651198811,5.05490541427447,"C"
"1008",0.00723262659616904,0.170209399372726,"A"
"5136",0.522170816976836,4.79507200623463,"C"
"4040",0.131215004388939,4.16167801843216,"C"
"1547",0.565737220607182,-1.00523471441206,"A"
"5099",-0.944570712603865,5.59566089149233,"C"
"5471",-0.950965492314479,5.74924630171058,"C"
"5940",0.236999397130093,4.11273842607951,"C"
"5787",-2.25293784328421,6.29339996721435,"C"
"2101",0.566835378828125,5.50483194700574,"B"
"2371",-0.697766582515221,4.80995060097386,"B"
"231",1.29550295740069,0.416335319710918,"A"
"4234",0.812186239264851,4.54389965068509,"C"
"5050",1.22893231788326,3.53915946516963,"C"
"1383",0.903088314035238,-1.55787841007937,"A"
"498",-1.0729240396268,0.243470499599728,"A"
"5571",0.744474576275955,4.46674899685391,"C"
"3164",-1.79478218023793,3.45595820623619,"B"
"1107",0.373786923067593,-0.0663507307208859,"A"
"4128",-1.7469202037368,6.77926738620291,"C"
"3433",-0.0811090546511572,5.01872947261432,"B"
"218",-1.66870546941429,0.415082092531635,"A"
"3242",-0.840597884816729,4.72002543788408,"B"
"2119",0.487515058769389,5.48688553026189,"B"
"3578",-0.861958258560898,4.59748599062134,"B"
"327",-0.680246069953674,-0.987974862462754,"A"
"686",-2.31942345557971,0.851251113978401,"A"
"4673",-0.564255573588111,6.0289724453823,"C"
"5458",-0.537361527447195,6.04797522119389,"C"
"529",0.329197274363936,-0.610105604098435,"A"
"5103",1.48430406756522,4.22796392202014,"C"
"3304",-0.210479434581613,5.46636731507745,"B"
"4141",-0.76416518328421,5.49298642125535,"C"
"763",-1.77880194408635,0.0438762408236992,"A"
"673",-1.2731716436671,-1.34647892718433,"A"
"2929",-0.7012051706109,4.17685095712879,"B"
"5427",0.866572794478389,5.08976769431745,"C"
"3803",0.299856892292225,5.44432797063556,"B"
"3173",0.422067451472567,5.39003202747755,"B"
"757",0.143203964203109,0.191720216720904,"A"
"5649",0.433674127050918,5.17562293271687,"C"
"4438",-0.689124968181752,5.64427855593038,"C"
"919",-1.27772279353854,-0.450212120659671,"A"
"401",-0.427332690704253,1.66291524751498,"A"
"3072",-2.28417875175115,2.18296651643872,"B"
"130",0.667143717654224,0.18788680959775,"A"
"5580",-0.165430915157911,4.90904346181138,"C"
"4274",0.691333727384497,4.19965002314536,"C"
"3421",1.38716162458248,6.83291759104952,"B"
"93",-0.0129391476684563,-0.776762867352793,"A"
"4781",1.31301420654554,3.83214241375139,"C"
"4145",-1.82189589581532,6.53104371205067,"C"
"2873",-1.24728882034149,3.64284511237506,"B"
"170",1.59406408670391,1.40601123180741,"A"
"4503",0.306793033122059,5.15281276033221,"C"
"219",0.70532571598051,1.38312367160861,"A"
"5083",-2.35094335263561,7.01957737501442,"C"
"3427",0.00557322435766947,4.66635155695508,"B"
"813",-1.35975095947979,-2.39493048911751,"A"
"5252",-0.947338022460925,6.03180367867144,"C"
"3038",-0.747741590483811,4.6435288116252,"B"
"3114",0.576831241453981,4.95530877580051,"B"
"2026",0.950023076847867,5.22775776220839,"B"
"4495",0.541380528113109,4.71841465200288,"C"
"5865",0.637477409388866,4.66286772038763,"C"
"242",-1.12952023021473,1.5660042304766,"A"
"5335",-1.80872239479154,6.96505862235161,"C"
"3389",1.31969932135966,5.65960510341343,"B"
"4087",0.310282578184087,4.55121239974837,"C"
"3737",0.844727772260861,5.67479509118272,"B"
"806",0.773391332178485,-1.72944637283507,"A"
"5387",0.736464264224749,4.22168077693667,"C"
"3350",-1.08116310995508,4.28634784004225,"B"
"1079",-0.847213254392538,-0.036988493527151,"A"
"2473",-0.0126514416861689,5.15002053827983,"B"
"4328",-0.819595784504144,5.88179714983834,"C"
"5126",-0.790396151310851,5.73043137771208,"C"
"2478",-1.46885152328219,3.85401005256394,"B"
"4052",-0.0181329576740823,4.48520911788355,"C"
"3044",-0.17143000957077,4.24958518731023,"B"
"3473",0.358845443140122,6.07461607528511,"B"
"3874",-0.0644552916213196,4.45834233252901,"B"
"2031",1.32871208354485,5.92370985923636,"B"
"2720",0.536465115803347,5.94326405512433,"B"
"3067",2.21787960880169,6.95059443407118,"B"
"1599",-0.730640120038148,-0.362943584117981,"A"
"5510",0.26797791276926,4.46822299094679,"C"
"468",0.875613924788437,-0.315902416623502,"A"
"3961",-0.53028365122081,4.32725589005695,"B"
"3513",-0.216687500528838,4.25189142265607,"B"
"4055",0.831784668268323,5.07017124953097,"C"
"893",-0.256452531290939,1.3587233330481,"A"
"2848",1.24039186815557,5.64748104171185,"B"
"5631",-0.898929467830875,6.12885650981403,"C"
"4520",-2.3484371422556,7.43593703772612,"C"
"2547",-1.15665833002887,4.18261979706173,"B"
"1696",1.31193297191671,-0.30643843159122,"A"
"2128",0.156803456588264,5.30936189284505,"B"
"4258",0.362293870969174,4.79281931299459,"C"
"4382",-1.68823582657938,6.07471440178573,"C"
"4576",-0.644233035416415,5.68699285241474,"C"
"1638",2.30489488257671,0.406980092720926,"A"
"5189",-0.561649860344193,6.46470772092893,"C"
"2632",1.67458013781612,6.78190906152798,"B"
"1559",0.485320249815639,-1.82520698215943,"A"
"3089",-1.02484218092876,4.0830121682512,"B"
"2158",0.164583920772394,4.90332559034468,"B"
"2207",0.358554311614669,5.89780075647108,"B"
"3365",-0.47393223517512,5.23839135879052,"B"
"5016",1.45169044087979,3.91289159066158,"C"
"337",2.12403644371211,0.536801663638338,"A"
"5149",0.483096083680823,5.25302973840389,"C"
"2947",-1.03504405295813,3.75095259067746,"B"
"5818",0.372969034038613,4.77389077293593,"C"
"2080",1.38827891683617,6.46974642105594,"B"
"406",-1.02602631397233,1.99709400081973,"A"
"2640",-0.26082643617918,4.96740853636437,"B"
"2192",0.311378592987134,5.08386888349994,"B"
"165",1.05994067944514,0.0456354398765051,"A"
"3957",-0.210991668354572,4.51668948706088,"B"
"462",1.34260451404616,-0.258373445856598,"A"
"4364",0.0244996242801136,4.75491969454175,"C"
"5928",-0.432205256078244,5.4518569422088,"C"
"1766",-0.0027607546473343,0.849143200962526,"A"
"1122",0.492480513233657,0.571596327315425,"A"
"3392",-0.446485895781449,4.2986175900581,"B"
"1361",-0.810153959616631,0.399294865303322,"A"
"3536",-0.34955934678232,4.33465537535418,"B"
"709",0.377081980126181,-1.05374058539122,"A"
"307",1.26750020758946,-0.23045967207084,"A"
"4616",-1.4096054851644,6.11058847061603,"C"
"3353",-0.52458717789247,4.2088704738562,"B"
"3806",0.403500237531615,5.40604676859364,"B"
"20",-0.210891711214061,-0.352259412800761,"A"
"5052",1.28622158631878,3.52574416689697,"C"
"3614",-1.42080014817266,4.87856263005435,"B"
"3959",0.548789564029351,5.53972378997155,"B"
"4354",0.526642507937455,4.34730746982571,"C"
"1649",-0.567870392552919,-0.936221048964792,"A"
"3439",-1.51020946968176,3.83244153236905,"B"
"5204",0.0882134104298309,5.35377170786688,"C"
"3851",0.668393400419733,6.07901802143509,"B"
"5203",-1.27899998963306,5.45745405292166,"C"
"1821",-2.59154778736317,1.48336211228897,"A"
"963",-0.752668840896297,-0.98415047766559,"A"
"1595",-0.546716692658248,-0.936959473460595,"A"
"4461",0.299771413052687,4.18860011724109,"C"
"2199",0.844576454664834,6.60899015634382,"B"
"1416",1.4587938568957,2.41025077169219,"A"
"1044",1.00232422746779,-0.550384089185985,"A"
"4771",0.93605445681799,3.70652543292883,"C"
"2620",1.17109147290792,5.8457999140767,"B"
"3576",1.47352664383548,5.92353141114542,"B"
"784",-0.240701849169147,-0.505581754169682,"A"
"287",0.590638487098352,1.79336292039313,"A"
"3895",0.472509021566739,5.6274560150772,"B"
"3625",-0.0117415327589103,5.44040476555054,"B"
"3403",-0.752071064757342,4.04730966664373,"B"
"3594",1.03700168755877,6.23725083004274,"B"
"4682",-1.15052582844825,4.87718581329241,"C"
"825",0.908988506366929,-0.887892705068227,"A"
"2798",-0.831935833899028,4.46569990690499,"B"
"5075",-0.167249758318449,4.56426491652131,"C"
"3139",-1.72949761948328,3.27456364864692,"B"
"2688",0.38914548170367,5.6656960408392,"B"
"2400",-1.25993825380443,3.63692673327004,"B"
"4804",0.0808655141918766,4.94078259600071,"C"
"4249",-0.0735740320819378,4.62865582245689,"C"
"1481",-0.611260991910562,-0.133919274380053,"A"
"5691",1.47073301815718,3.05094131327283,"C"
"2738",0.709529920072745,5.50033081550735,"B"
"1876",0.881206611215337,-0.122754230160512,"A"
"333",1.08439627102784,-0.628730662028143,"A"
"3783",1.24307466936156,6.34914260009395,"B"
"1925",1.35490996236068,-0.368774458278181,"A"
"4802",-0.0484479132259395,5.11185691736348,"C"
"3339",-0.662890261482711,4.17314297901615,"B"
"1003",0.958359528943089,-1.51413326126324,"A"
"1057",-0.025846514310083,-0.802603166710362,"A"
"1744",-0.479696583216815,0.28671878458538,"A"
"1375",-2.80092912633909,-2.2256278077273,"A"
"2035",-0.168478124215302,4.64240307479122,"B"
"1150",0.305981075002649,1.70916732375136,"A"
"4371",-1.04772982447964,5.59291144331315,"C"
"2884",0.51828110846345,5.8734094867654,"B"
"1963",0.334647809080405,0.249965765539889,"A"
"1171",-0.525892818060075,-0.0329380671388856,"A"
"5058",1.8549462059401,3.3174742677163,"C"
"1511",-0.466324758714577,1.20854454471994,"A"
"4549",-0.672262603608953,5.73357934897152,"C"
"1358",-0.60961808808979,0.609607334709668,"A"
"3608",-0.432629564927495,4.41114076911708,"B"
"4866",-0.623824196466659,5.46925813623763,"C"
"1437",0.851549783296774,-1.01994897200795,"A"
"4933",-0.399013783033675,5.49681994941784,"C"
"2179",-0.0106118950368602,4.84875603863423,"B"
"3182",-1.09629955334466,3.60455053236926,"B"
"2564",0.971237306508556,5.34462500479464,"B"
"5463",0.224414175783763,4.35575101599871,"C"
"2964",0.506543939001913,5.27340004827655,"B"
"5956",-0.200808152205096,5.08587838099682,"C"
"4676",-0.521734006348836,6.03659785994372,"C"
"4868",0.13139249963324,4.85099915638031,"C"
"2041",0.80700356135397,6.15230755479335,"B"
"4404",-0.117044883863058,4.66226352625055,"C"
"5308",0.574854349952636,4.76723198763088,"C"
"4376",0.145603565497078,5.05852576563465,"C"
"1517",-0.9419473842716,-1.46629061120219,"A"
"3402",-0.217419181523941,4.92567232258721,"B"
"4727",-0.384611358956661,5.15072843155024,"C"
"4905",2.06098034357538,2.8695571759771,"C"
"2277",-0.00414692583221718,4.59886830252709,"B"
"1347",2.04699555804723,-1.13782607543531,"A"
"3455",-0.78393369749374,4.45158652054872,"B"
"1838",1.52982003924714,-0.118603287703999,"A"
"2736",-0.720963522837319,3.88408445208463,"B"
"332",1.5839822833226,-2.1242506332896,"A"
"5044",-0.043467509043975,5.08026377241287,"C"
"3380",-0.727959269038936,4.69870883860578,"B"
"3013",-0.584393016879216,4.02050118673066,"B"
"2462",-1.88911447985563,3.49580079702716,"B"
"1502",0.445326899392981,-0.855204253619216,"A"
"740",0.231177409246792,-1.2768803058739,"A"
"923",1.75932934876454,-0.690300888884352,"A"
"3913",1.15088169251661,5.59224098621085,"B"
"215",0.827662644856186,0.572583135178236,"A"
"521",0.6480622338135,-0.440719943168203,"A"
"563",1.22238734240367,-0.467422767063024,"A"
"931",-2.0169589407714,0.911463765171403,"A"
"5061",-0.599400829776741,5.19013784068675,"C"
"755",-1.78623887893687,-0.117375237226034,"A"
"5494",-2.06334725712128,5.65353554373531,"C"
"4663",-0.399622970389029,4.8577994025631,"C"
"5830",-1.46786479321065,6.76652305056309,"C"
"2404",3.82371081306226,8.0364097614397,"B"
"2278",-0.0076439407029491,4.31941188783695,"B"
"4466",0.173324508985867,4.63656660318666,"C"
"1043",1.18628605741005,-1.10504121530166,"A"
"811",1.14114906420524,-0.346057393053903,"A"
"101",1.75601894307337,0.639287155853989,"A"
"4350",0.592111333577338,4.37039111377963,"C"
"178",0.829969611992918,0.708660065953915,"A"
"1578",1.14264269500696,0.467690730771209,"A"
"2068",-0.140565700037096,4.68907189382791,"B"
"2268",0.570815618503402,6.37040363404211,"B"
"566",-0.214154355072411,-0.352536735151343,"A"
"3878",-0.32018123779701,4.48514865983028,"B"
"4958",2.60830016829822,2.62244506232039,"C"
"2409",0.392657971217676,5.41194885444868,"B"
"619",1.01804984430212,0.653060240859895,"A"
"131",-2.3454597099575,-0.21960316090558,"A"
"4955",0.661733709262999,4.84702482729222,"C"
"1116",0.848933450777251,-0.486909047784331,"A"
"4943",-0.56047392217946,5.32056515836516,"C"
"5754",-0.0130157975575146,4.86798456448992,"C"
"5326",-1.12322660191957,5.90706996550214,"C"
"94",-0.754682320364768,0.605124477591926,"A"
"871",-0.645759550158054,-1.68806791723596,"A"
"3715",0.462775190090431,4.51302119928855,"B"
"3855",-0.306297241242492,4.03019007165151,"B"
"193",0.699690624124851,2.70976811263056,"A"
"5269",-0.242257116637204,4.90472805961876,"C"
"816",0.410916765401623,-0.0730709447808857,"A"
"889",1.64771266622118,-0.419012964905102,"A"
"880",1.34923342960237,-0.393742785384395,"A"
"4372",-0.110943170125284,5.44255207869356,"C"
"1709",0.293342271969847,0.142115003144973,"A"
"391",1.27483055232841,-0.222429209714135,"A"
"3084",-1.37541373288561,3.43338997014902,"B"
"1488",-0.545726664283707,0.121097152589038,"A"
"1053",-0.462953844081932,1.01696115762988,"A"
"2939",1.62489868873296,6.71758496025189,"B"
"379",0.645679961072371,0.273534561152415,"A"
"2071",-0.418797512865463,5.36666891564002,"B"
"606",1.7863454093721,-0.907808542387276,"A"
"1951",-0.580445595219403,1.52350632167558,"A"
"2830",0.58653928781564,5.93407484718274,"B"
"1631",0.710369126055122,0.124578408008243,"A"
"5996",-0.654951424139669,5.42086312130284,"C"
"1561",-1.61102488879974,-0.140825517590036,"A"
"5201",-0.169375171027407,5.50290993353959,"C"
"4192",-0.79664864963202,5.80551714143337,"C"
"830",0.410390421595256,0.971467723407305,"A"
"1014",0.209943105885909,-0.891524473060058,"A"
"5906",-0.388958342911792,5.48481871595141,"C"
"458",1.00490770115849,-2.4574921897489,"A"
"4105",1.17105523576189,3.98764946279359,"C"
"3879",1.20341151051756,6.0854041867131,"B"
"4009",0.979217016426663,4.59108150214892,"C"
"3978",-0.371251552450583,4.36285127708865,"B"
"5309",-1.11639138123731,6.06551312942361,"C"
"2838",-0.196131319481422,4.94310133357515,"B"
"2008",1.19981441920216,6.42239491895952,"B"
"1444",1.19006260391669,-0.957863417635609,"A"
"271",0.339517929567867,0.207822482558324,"A"
"1315",0.735347110892225,-0.790361065378617,"A"
"2578",-0.582360129128936,4.71618925191142,"B"
"5027",0.716843804755394,5.01895961315774,"C"
"4595",-1.20543480085085,5.97449611639852,"C"
"376",0.159553315801735,-0.827440095713296,"A"
"3545",1.84035086533385,6.50023181894171,"B"
"3211",0.753850232937633,6.40832023201163,"B"
"1279",-1.34198917670117,2.70871162592115,"A"
"4810",-0.735601706439978,5.51049441914558,"C"
"5322",0.745602591312585,3.72594772329091,"C"
"1512",-0.521691616597861,-0.245819374296462,"A"
"5338",0.448580022236263,4.80040079333055,"C"
"4115",0.281652297156042,4.70518798331622,"C"
"4028",-0.204667687909103,4.7254170295176,"C"
"5698",-1.91745342951075,6.02112393390218,"C"
"4575",0.209883788694039,4.82084462468887,"C"
"1757",0.165802413810508,-0.58136093307052,"A"
"4811",0.830476145165137,3.54507752078939,"C"
"3325",0.202648017894293,5.49781547915885,"B"
"4316",0.368417101932304,4.63273118635092,"C"
"1943",1.23902383796512,-0.253854461868102,"A"
"3868",-0.167279439101592,4.70792155248435,"B"
"3522",0.547543420761044,5.56768184375547,"B"
"2807",0.614229916689147,5.26074451757671,"B"
"483",-0.651847994787375,-0.727037306943879,"A"
"3730",0.575738970416571,5.50989851148709,"B"
"252",-0.74898155795688,-0.517348288406869,"A"
"5180",0.119033904289696,4.70020920965214,"C"
"2552",-0.165575487322367,4.65219715237307,"B"
"3903",-0.377459202029477,4.44806574456232,"B"
"5132",-1.12959409261404,5.62025121821264,"C"
"1117",-0.045634102988895,-0.912496893985781,"A"
"5648",0.429402110222304,4.73342205504402,"C"
"4229",1.76997431750631,2.99772558069243,"C"
"3128",0.289781056011291,5.46224457959873,"B"
"4624",2.50997053248397,2.57181628172609,"C"
"36",0.0993926340504762,0.430035919513545,"A"
"801",-0.183521837792881,-0.812252494320575,"A"
"4243",1.44428310314573,3.34661756554923,"C"
"489",1.30863011158384,0.467489047336277,"A"
"2619",-0.405214688294626,4.23789579576603,"B"
"3163",0.168222672230576,5.26273213390918,"B"
"3626",1.12775988387353,5.58279702274625,"B"
"1992",0.118365781825432,1.00560160185447,"A"
"3653",-0.720991189241079,4.40343912625349,"B"
"5418",0.668591096759263,4.67812883200499,"C"
"5140",1.43158782808063,3.08478014517676,"C"
"4308",-0.438946666935084,5.65120108670672,"C"
"1746",-1.828266604932,-0.461947296829215,"A"
"1368",1.21009142298332,-3.06753222643459,"A"
"3902",2.48781897602528,7.51302033248388,"B"
"4508",0.405243001259497,5.06983759900209,"C"
"5622",0.586481765612668,4.25462906626347,"C"
"1816",1.33805776564981,1.88579268906554,"A"
"5735",-0.667024231260677,5.24419312076179,"C"
"1428",-0.734751802369808,0.461286607732007,"A"
"2312",-0.887878977265164,4.89880217283052,"B"
"4980",0.894170651596272,3.88518850738166,"C"
"4092",0.0777491057299119,4.63942595867774,"C"
"2933",-0.540022149722063,4.64975743860797,"B"
"2849",-1.82550927543147,3.17265463193347,"B"
"2118",-0.582978772072159,4.96010001876776,"B"
"1637",-0.0579412917070056,-0.231594451600073,"A"
"4289",1.02920108480727,4.13853175699792,"C"
"4725",-1.21341331941298,6.10158090191968,"C"
"3742",-0.998102544845887,4.21063464197272,"B"
"2677",0.542866491025595,5.59653997107151,"B"
"1812",1.42635494845027,0.655100461788858,"A"
"4946",-0.725070848101987,6.18403019479433,"C"
"2962",0.88526313524594,5.74084050296884,"B"
"4805",-0.501232894654564,5.15318796500561,"C"
"2248",0.790904920174587,5.79403128698086,"B"
"211",1.88424212629643,-0.264763013779376,"A"
"3467",-0.376616009142244,4.29005393993753,"B"
"2137",0.01355806056762,4.71639720740291,"B"
"5162",-2.18908553730199,7.08283644818048,"C"
"5626",2.67631000304349,2.14619399993876,"C"
"1899",-0.443794110088944,-1.04519406528776,"A"
"5986",-1.4736643042271,6.29135304438692,"C"
"5523",-0.0706784167155193,5.43337215193221,"C"
"1469",0.559530861423334,0.989118495206628,"A"
